net,length_um
net10,97.94µm
net11,93.96µm
_011_,93.78µm
_012_,78.74µm
net21,65.44µm
net12,59.09µm
clknet_1_0__leaf_clk,35.4µm
clknet_1_1__leaf_clk,34.62µm
net17,32.76µm
net16,32.58µm
net18,24.8µm
net15,24.22µm
clk,23.95µm
net14,23.08µm
data[3],20.03µm
_046_,19.82µm
_044_,19.7µm
_030_,18.04µm
clknet_0_clk,17.86µm
_008_,16.9µm
net13,16.24µm
_033_,15.62µm
net19,15.4µm
_019_,15.12µm
count[1],14.46µm
_020_,14.44µm
data[0],13.98µm
data[6],13.4µm
data[1],13.08µm
_031_,11.42µm
_037_,11.42µm
_026_,11.32µm
_006_,11.2µm
net20,11.04µm
resetn,10.71µm
net4,10.69µm
preload,10.47µm
count[6],10.42µm
_042_,10.32µm
_024_,9.98µm
data[2],9.64µm
_029_,8.96µm
net1,8.78µm
_016_,8.32µm
_022_,8.2µm
_015_,8.12µm
_038_,8.1µm
net7,8.06µm
net23,7.52µm
_050_,7.12µm
count[3],7.11µm
_007_,7.02µm
_009_,6.6µm
data[4],6.55µm
count[0],6.45µm
up_down,6.31µm
net2,6.28µm
_049_,6.26µm
_027_,5.96µm
_023_,5.8µm
_004_,5.46µm
_048_,5.4µm
_035_,5.38µm
data[7],5.29µm
_014_,5.28µm
_017_,5.22µm
net9,5.14µm
count[2],5.07µm
enable,4.83µm
count[7],4.73µm
count[5],4.61µm
_039_,4.6µm
net24,4.6µm
net8,4.46µm
_034_,4.42µm
_002_,4.34µm
_025_,4.34µm
_013_,4.08µm
_047_,4.005µm
_021_,4µm
count[4],3.93µm
_032_,3.88µm
data[5],3.81µm
_045_,3.54µm
_051_,3.1µm
net5,2.98µm
net6,2.98µm
_000_,2.71µm
_018_,2.5µm
_028_,2.5µm
_052_,2.38µm
_003_,2.18µm
_043_,2.18µm
_001_,2.16µm
_010_,2.16µm
_053_,2.16µm
net3,2.06µm
_005_,1.7µm
_041_,1.6µm
_040_,1.38µm
net22,1.38µm
_036_,1.26µm
