Instance,Terminal,Layer,X location,Y location,Voltage
input8,VPWR,li1,7.5900,40.8000,1.799972
input7,VPWR,li1,26.9100,46.2400,1.799999
input6,VPWR,li1,40.7100,35.3600,1.799827
input5,VPWR,li1,40.7100,24.4800,1.799924
input4,VPWR,li1,7.5900,29.9200,1.799868
input3,VPWR,li1,17.2500,13.6000,1.799927
input2,VPWR,li1,28.2900,13.6000,1.799920
input1,VPWR,li1,37.0300,13.6000,1.799902
TAP_TAPCELL_ROW_12_40,VPWR,li1,31.5100,45.9330,1.799999
TAP_TAPCELL_ROW_12_39,VPWR,li1,18.6300,45.9330,1.799999
TAP_TAPCELL_ROW_11_38,VPWR,li1,31.5100,41.1060,1.799970
TAP_TAPCELL_ROW_10_37,VPWR,li1,18.6300,40.4930,1.799976
TAP_TAPCELL_ROW_9_36,VPWR,li1,31.5100,35.6660,1.799838
TAP_TAPCELL_ROW_8_35,VPWR,li1,18.6300,35.0530,1.799865
TAP_TAPCELL_ROW_7_34,VPWR,li1,31.5100,30.2260,1.799836
TAP_TAPCELL_ROW_6_33,VPWR,li1,18.6300,29.6130,1.799878
TAP_TAPCELL_ROW_5_32,VPWR,li1,31.5100,24.7860,1.799933
TAP_TAPCELL_ROW_4_31,VPWR,li1,18.6300,24.1730,1.799959
TAP_TAPCELL_ROW_3_30,VPWR,li1,31.5100,19.3460,1.799815
TAP_TAPCELL_ROW_2_29,VPWR,li1,18.6300,18.7330,1.799892
TAP_TAPCELL_ROW_1_28,VPWR,li1,31.5100,13.9060,1.799910
TAP_TAPCELL_ROW_0_27,VPWR,li1,31.5100,13.2930,1.799910
TAP_TAPCELL_ROW_0_26,VPWR,li1,18.6300,13.2930,1.799931
PHY_EDGE_ROW_12_Left_25,VPWR,li1,6.2100,46.2400,1.799999
PHY_EDGE_ROW_11_Left_24,VPWR,li1,6.2100,40.8000,1.799972
PHY_EDGE_ROW_10_Left_23,VPWR,li1,6.2100,40.8000,1.799972
PHY_EDGE_ROW_9_Left_22,VPWR,li1,6.2100,35.3600,1.799853
PHY_EDGE_ROW_8_Left_21,VPWR,li1,6.2100,35.3600,1.799853
PHY_EDGE_ROW_7_Left_20,VPWR,li1,6.2100,29.9200,1.799868
PHY_EDGE_ROW_6_Left_19,VPWR,li1,6.2100,29.9200,1.799868
PHY_EDGE_ROW_5_Left_18,VPWR,li1,6.2100,24.4800,1.799956
PHY_EDGE_ROW_4_Left_17,VPWR,li1,6.2100,24.4800,1.799956
PHY_EDGE_ROW_3_Left_16,VPWR,li1,6.2100,19.0400,1.799887
PHY_EDGE_ROW_2_Left_15,VPWR,li1,6.2100,19.0400,1.799887
PHY_EDGE_ROW_1_Left_14,VPWR,li1,6.2100,13.6000,1.799918
PHY_EDGE_ROW_0_Left_13,VPWR,li1,6.2100,13.6000,1.799918
PHY_EDGE_ROW_12_Right_12,VPWR,li1,42.0900,46.2400,1.799999
PHY_EDGE_ROW_11_Right_11,VPWR,li1,42.0900,40.8000,1.799969
PHY_EDGE_ROW_10_Right_10,VPWR,li1,42.0900,40.8000,1.799969
PHY_EDGE_ROW_9_Right_9,VPWR,li1,42.0900,35.3600,1.799827
PHY_EDGE_ROW_8_Right_8,VPWR,li1,42.0900,35.3600,1.799827
PHY_EDGE_ROW_7_Right_7,VPWR,li1,42.0900,29.9200,1.799834
PHY_EDGE_ROW_6_Right_6,VPWR,li1,42.0900,29.9200,1.799834
PHY_EDGE_ROW_5_Right_5,VPWR,li1,42.0900,24.4800,1.799924
PHY_EDGE_ROW_4_Right_4,VPWR,li1,42.0900,24.4800,1.799924
PHY_EDGE_ROW_3_Right_3,VPWR,li1,42.0900,19.0400,1.799814
PHY_EDGE_ROW_2_Right_2,VPWR,li1,42.0900,19.0400,1.799814
PHY_EDGE_ROW_1_Right_1,VPWR,li1,42.0900,13.6000,1.799902
PHY_EDGE_ROW_0_Right_0,VPWR,li1,42.0900,13.6000,1.799902
_115_,VPWR,li1,11.5000,35.3600,1.799853
_114_,VPWR,li1,23.4600,35.3600,1.799873
_113_,VPWR,li1,36.8000,35.3600,1.799827
_112_,VPWR,li1,36.8000,24.4800,1.799924
_111_,VPWR,li1,17.0200,29.9200,1.799872
_110_,VPWR,li1,11.7300,13.6000,1.799918
_109_,VPWR,li1,21.1600,13.6000,1.799936
_108_,VPWR,li1,36.8000,13.6000,1.799902
_107_,VPWR,li1,13.8000,40.8000,1.799973
_106_,VPWR,li1,11.7300,35.3600,1.799853
_105_,VPWR,li1,14.9500,40.8000,1.799973
_104_,VPWR,li1,10.8100,40.8000,1.799972
_103_,VPWR,li1,21.1600,40.8000,1.799978
_102_,VPWR,li1,21.8500,40.8000,1.799978
_101_,VPWR,li1,25.0700,40.8000,1.799975
_100_,VPWR,li1,32.8900,40.8000,1.799969
_099_,VPWR,li1,27.3700,40.8000,1.799972
_098_,VPWR,li1,25.9900,29.9200,1.799838
_097_,VPWR,li1,29.4400,29.9200,1.799836
_096_,VPWR,li1,28.2900,40.8000,1.799971
_095_,VPWR,li1,26.2200,40.8000,1.799972
_094_,VPWR,li1,23.4600,40.8000,1.799975
_093_,VPWR,li1,34.7300,29.9200,1.799835
_092_,VPWR,li1,36.5700,35.3600,1.799827
_091_,VPWR,li1,31.0500,35.3600,1.799838
_090_,VPWR,li1,29.2100,35.3600,1.799844
_089_,VPWR,li1,27.1400,24.4800,1.799943
_088_,VPWR,li1,30.1300,40.8000,1.799970
_087_,VPWR,li1,33.3500,24.4800,1.799930
_086_,VPWR,li1,35.1900,29.9200,1.799835
_085_,VPWR,li1,31.5100,24.4800,1.799933
_084_,VPWR,li1,29.6700,24.4800,1.799937
_083_,VPWR,li1,25.0700,24.4800,1.799949
_082_,VPWR,li1,27.1400,24.4800,1.799943
_081_,VPWR,li1,29.9000,24.4800,1.799937
_080_,VPWR,li1,21.1600,24.4800,1.799960
_079_,VPWR,li1,18.8600,24.4800,1.799959
_078_,VPWR,li1,11.9600,29.9200,1.799869
_077_,VPWR,li1,11.0400,24.4800,1.799956
_076_,VPWR,li1,12.8800,24.4800,1.799957
_075_,VPWR,li1,11.5000,24.4800,1.799956
_074_,VPWR,li1,20.9300,24.4800,1.799960
_073_,VPWR,li1,8.5100,29.9200,1.799868
_072_,VPWR,li1,14.9500,19.0400,1.799890
_071_,VPWR,li1,14.4900,13.6000,1.799923
_070_,VPWR,li1,16.7900,19.0400,1.799891
_069_,VPWR,li1,18.6300,19.0400,1.799892
_068_,VPWR,li1,8.5100,19.0400,1.799887
