Instance,Terminal,Layer,X location,Y location,Voltage
input4,VGND,li1,7.5900,32.6400,0.000090
input3,VGND,li1,17.2500,10.8800,0.000009
input2,VGND,li1,28.2900,10.8800,0.000009
input1,VGND,li1,37.0300,10.8800,0.000012
TAP_TAPCELL_ROW_12_40,VGND,li1,31.5100,43.8110,0.000014
TAP_TAPCELL_ROW_12_39,VGND,li1,18.6300,43.8110,0.000019
TAP_TAPCELL_ROW_11_38,VGND,li1,31.5100,43.2280,0.000014
TAP_TAPCELL_ROW_10_37,VGND,li1,18.6300,38.3710,0.000109
TAP_TAPCELL_ROW_9_36,VGND,li1,31.5100,37.7880,0.000103
TAP_TAPCELL_ROW_8_35,VGND,li1,18.6300,32.9310,0.000089
TAP_TAPCELL_ROW_7_34,VGND,li1,31.5100,32.3480,0.000082
TAP_TAPCELL_ROW_6_33,VGND,li1,18.6300,27.4910,0.000103
TAP_TAPCELL_ROW_5_32,VGND,li1,31.5100,26.9080,0.000114
TAP_TAPCELL_ROW_4_31,VGND,li1,18.6300,22.0510,0.000064
TAP_TAPCELL_ROW_3_30,VGND,li1,31.5100,21.4680,0.000072
TAP_TAPCELL_ROW_2_29,VGND,li1,18.6300,16.6110,0.000158
TAP_TAPCELL_ROW_1_28,VGND,li1,31.5100,16.0280,0.000203
TAP_TAPCELL_ROW_0_27,VGND,li1,31.5100,11.1710,0.000010
TAP_TAPCELL_ROW_0_26,VGND,li1,18.6300,11.1710,0.000009
PHY_EDGE_ROW_12_Left_25,VGND,li1,6.2100,43.5200,0.000022
PHY_EDGE_ROW_11_Left_24,VGND,li1,6.2100,43.5200,0.000022
PHY_EDGE_ROW_10_Left_23,VGND,li1,6.2100,38.0800,0.000125
PHY_EDGE_ROW_9_Left_22,VGND,li1,6.2100,38.0800,0.000125
PHY_EDGE_ROW_8_Left_21,VGND,li1,6.2100,32.6400,0.000090
PHY_EDGE_ROW_7_Left_20,VGND,li1,6.2100,32.6400,0.000090
PHY_EDGE_ROW_6_Left_19,VGND,li1,6.2100,27.2000,0.000109
PHY_EDGE_ROW_5_Left_18,VGND,li1,6.2100,27.2000,0.000109
PHY_EDGE_ROW_4_Left_17,VGND,li1,6.2100,21.7600,0.000069
PHY_EDGE_ROW_3_Left_16,VGND,li1,6.2100,21.7600,0.000069
PHY_EDGE_ROW_2_Left_15,VGND,li1,6.2100,16.3200,0.000174
PHY_EDGE_ROW_1_Left_14,VGND,li1,6.2100,16.3200,0.000174
PHY_EDGE_ROW_0_Left_13,VGND,li1,6.2100,10.8800,0.000009
