net,length_um
net10,103.94µm
_011_,99.19µm
net12,94.82µm
net11,86.71µm
_012_,70.22µm
net17,34.9µm
net18,33.62µm
clknet_1_0__leaf_clk,32.96µm
net15,29.12µm
clknet_1_1__leaf_clk,29.1µm
clk,27.63µm
net13,24.18µm
_046_,24.1µm
_030_,23.32µm
clknet_0_clk,22.14µm
net16,21µm
net14,20.79µm
_008_,19.66µm
_044_,17.64µm
net19,15.72µm
_037_,14.96µm
_033_,14.94µm
_024_,14.8µm
_020_,14.56µm
net20,13.9µm
_048_,13.1µm
data[0],12.4µm
data[6],12.02µm
_022_,10.5µm
data[2],10.32µm
_042_,10.22µm
data[1],10.1µm
count[6],10.08µm
_015_,9.94µm
_038_,9.32µm
_009_,8.9µm
net8,8.9µm
_039_,8.58µm
resetn,8.57µm
count[1],8.04µm
count[3],8.03µm
_017_,7.94µm
_019_,7.9µm
_013_,7.82µm
_000_,7.52µm
net9,7.42µm
net5,7.22µm
net4,7.195µm
net7,6.6µm
_047_,6.08µm
count[0],5.99µm
data[5],5.85µm
_050_,5.74µm
data[3],5.63µm
preload,5.63µm
_006_,5.485µm
_016_,5.48µm
_021_,5.38µm
data[7],5.29µm
data[4],5.17µm
_041_,4.88µm
_053_,4.88µm
_031_,4.82µm
net6,4.82µm
_018_,4.8µm
up_down,4.73µm
count[2],4.61µm
_034_,4.46µm
_023_,4.42µm
net1,4.42µm
count[7],4.27µm
count[5],4.15µm
enable,4.15µm
_040_,4µm
_014_,3.76µm
_004_,3.54µm
count[4],3.47µm
_026_,3.3µm
_027_,3.22µm
_007_,3.2µm
_051_,3.1µm
_035_,3.08µm
_028_,3.06µm
_052_,2.96µm
net2,2.96µm
_002_,2.74µm
_001_,2.62µm
net3,2.52µm
_005_,2.5µm
_025_,2.5µm
_029_,2.5µm
_032_,2.5µm
_003_,2.16µm
_010_,2.16µm
_036_,2.16µm
_043_,1.72µm
_049_,1.26µm
_045_,0.92µm
