net,length_um
net10,105.75µm
_011_,98.5µm
net11,91.08µm
_012_,90.2µm
net28,52.2µm
net12,46.4µm
net17,37.02µm
clknet_1_0__leaf_clk,36.66µm
net21,36.27µm
_008_,29.98µm
clknet_1_1__leaf_clk,28.32µm
clk,27.63µm
net15,26.82µm
_046_,26.08µm
_015_,25.06µm
clknet_0_clk,22.6µm
net13,21.92µm
net19,21.56µm
net18,21.38µm
_020_,21.16µm
data[0],19.98µm
_033_,18.82µm
net16,17.145µm
count[1],16.3µm
_024_,15.84µm
net14,15.02µm
_030_,14.98µm
enable,14.41µm
net22,13.94µm
_044_,13.28µm
_031_,13.18µm
net9,12.96µm
_019_,12.68µm
_037_,12.54µm
data[1],12.4µm
net20,11.6µm
data[6],11.1µm
_016_,11.02µm
count[6],10.54µm
data[3],10.33µm
data[2],10.32µm
net27,10.24µm
up_down,10.19µm
net24,9.39µm
_022_,9.22µm
_042_,8.96µm
count[0],8.75µm
_013_,8.74µm
data[4],8.71µm
_047_,8.5µm
_023_,8.2µm
_003_,8.16µm
net7,7.98µm
_035_,7.68µm
net8,7.5µm
count[3],7.11µm
preload,6.79µm
_050_,6.66µm
_039_,6.64µm
net25,6.4µm
_053_,6.26µm
count[4],6.23µm
resetn,6.23µm
_017_,5.68µm
net5,5.68µm
_006_,5.49µm
_026_,5.34µm
_045_,5.34µm
data[7],5.29µm
count[2],5.07µm
_007_,5.04µm
net30,4.94µm
net2,4.82µm
_009_,4.8µm
count[7],4.73µm
count[5],4.61µm
_048_,4.6µm
_034_,4.42µm
_027_,4.12µm
net26,4.1µm
_029_,3.88µm
data[5],3.81µm
_021_,3.68µm
_004_,3.42µm
_028_,3.42µm
_038_,3.42µm
net23,3.42µm
_049_,3.1µm
net3,2.98µm
net6,2.98µm
_025_,2.96µm
_018_,2.86µm
_051_,2.64µm
_001_,2.62µm
_052_,2.5µm
net1,2.5µm
_032_,2.16µm
net29,2.04µm
net4,1.93µm
_010_,1.84µm
_000_,1.7µm
_005_,1.7µm
_041_,1.6µm
_014_,1.38µm
_040_,1.38µm
_002_,1.36µm
_036_,1.26µm
_043_,0.8µm
