net,length_um
net10,94.92µm
net11,92.59µm
_011_,87.58µm
_012_,84.84µm
net21,70.7µm
net12,49.84µm
net18,31.42µm
_008_,30.98µm
net17,29.24µm
clk,27.63µm
clknet_1_0__leaf_clk,27.34µm
net15,24.68µm
net16,24.65µm
clknet_1_1__leaf_clk,24.3µm
_033_,22.37µm
clknet_0_clk,22.14µm
net19,20.74µm
_046_,20.18µm
data[0],19.98µm
_030_,18.97µm
_020_,17.4µm
net7,16.72µm
count[1],16.3µm
net23,15.82µm
net13,15.52µm
_038_,15.48µm
data[6],15.24µm
_015_,15.18µm
_044_,15.085µm
_024_,14.8µm
count[6],14.68µm
net20,14.48µm
_031_,13.86µm
_026_,13.66µm
_014_,13.2µm
net14,12.24µm
_042_,11.6µm
_003_,11.36µm
data[1],11.24µm
resetn,10.99µm
data[2],10.32µm
net25,9.82µm
_035_,9.54µm
net8,9.36µm
_029_,8.96µm
_009_,8.9µm
_037_,8.9µm
count[0],8.75µm
_016_,8.7µm
_049_,8.52µm
preload,8.39µm
_013_,7.82µm
_050_,7.12µm
count[3],7.11µm
_018_,7µm
_048_,6.86µm
_032_,6.66µm
data[4],6.55µm
_019_,6.52µm
net28,6.35µm
_039_,6.3µm
net22,6.14µm
data[3],6.11µm
_006_,6.105µm
_000_,5.92µm
data[7],5.29µm
net9,5.14µm
count[2],5.07µm
_023_,4.88µm
_053_,4.88µm
enable,4.83µm
count[7],4.73µm
count[5],4.61µm
up_down,4.61µm
net34,4.48µm
net33,4.42µm
_034_,4µm
count[4],3.93µm
data[5],3.81µm
_022_,3.64µm
_004_,3.54µm
net5,3.44µm
_025_,3.42µm
net26,3.42µm
net4,3.19µm
_043_,3.1µm
_010_,3.08µm
net6,2.98µm
net24,2.96µm
_021_,2.76µm
_002_,2.74µm
_007_,2.74µm
_001_,2.62µm
_047_,2.3µm
_027_,2.28µm
_051_,2.18µm
net2,2.06µm
net3,2.06µm
_052_,2.04µm
net1,2.04µm
_005_,1.7µm
_045_,1.7µm
_041_,1.6µm
_040_,1.38µm
_036_,1.26µm
_028_,1.14µm
net27,0.92µm
_017_,0.46µm
