net,length_um
net10,119.48µm
_011_,109.36µm
net11,82.64µm
_012_,78.1µm
net21,68.83µm
clknet_1_0__leaf_clk,42.22µm
net18,38.34µm
net12,34µm
clknet_1_1__leaf_clk,33.08µm
net15,31.88µm
clk,31.49µm
clknet_0_clk,26.02µm
net17,25.44µm
_046_,23.74µm
net16,23.555µm
_030_,23.46µm
net14,22.73µm
_037_,22.255µm
data[0],20.82µm
_008_,20.64µm
_038_,19.6µm
net13,18.96µm
_033_,17.62µm
_019_,16.36µm
net9,14.8µm
net19,14.46µm
_020_,14.16µm
_028_,13.68µm
_015_,13.36µm
_044_,13.02µm
_039_,13µm
_003_,11.38µm
data[6],11.1µm
resetn,10.99µm
_006_,10.66µm
count[6],10.54µm
data[2],10.32µm
data[1],10.1µm
net20,9.92µm
_047_,9.86µm
_026_,9.82µm
data[7],9.77µm
_024_,9.72µm
_042_,9.72µm
_013_,9.2µm
_016_,9.12µm
data[3],9.07µm
_041_,8.98µm
_031_,8.78µm
count[1],8.5µm
count[0],8.29µm
_009_,7.98µm
enable,7.89µm
_007_,7.68µm
_036_,7.64µm
_014_,6.3µm
_048_,6.3µm
_040_,6.26µm
_050_,6.2µm
_017_,6.14µm
data[4],5.87µm
data[5],5.85µm
net5,5.8µm
_023_,5.34µm
count[4],5.29µm
count[2],5.07µm
preload,4.95µm
_018_,4.8µm
count[7],4.73µm
_022_,4.68µm
_032_,4.68µm
count[5],4.61µm
up_down,4.61µm
net23,4.6µm
_000_,4.54µm
_004_,4.46µm
net22,4.42µm
count[3],4.39µm
net6,4.36µm
_043_,4.34µm
_021_,4µm
_025_,3.88µm
_029_,3.54µm
_053_,3.44µm
_002_,3.2µm
net4,3.175µm
_049_,3.1µm
_035_,3.08µm
net2,2.96µm
_001_,2.62µm
_034_,2.3µm
_051_,2.18µm
_005_,2.16µm
_052_,2.16µm
net7,2.16µm
net3,2.06µm
net8,2.06µm
_010_,1.84µm
net1,1.14µm
_045_,0.92µm
_027_,0.46µm
